Rating,Title,Content
3,Very good,"Máy bay mới, trang thiết bị tốt. Thái độ phục vụ của nhân viên thân thiện. Chuyến đi để lại ấn tượng tốt đối với tôi."
3,Dịch vụ chất lượng,"Tiếp viên nhiệt tình, niềm nở, thân thiện.
Chuyến bay đúng giờ.
Thủ tục check-in thuận tiện.
Phục vụ ăn trên máy bay khá"
1,Shuttle bus,"Chất lượng xe bus chở khách quá xuống cấp.

Không có thông gió rất bí và ngột thở.

Chở khách ra máy bay 15p chưa mở cửa.

Thông gió điều hòa không bật, mấy chục con người chờ trên 1 chiếc xe vừa nóng vừa ngột thở vừa mùi"
3,Mọi thứ đều ổn,Mọi thứ đều tốt trừ các nhân viên mặt đất được thuê làm thủ tục check-in không phải của hãng nên thái độ & cung cách phục vụ không như các nhân viên thuộc hãng
1,"Thay đổi cửa, giờ này theo ý. Chả chú ý khách hàng còn sót lại hay không luôn.","Verry verry bad . Next time say good bye, không muốn đi hãng này 1 lần nào nữa dù trước đó đi có đi vài lần."
3,Chuyến bay ngắn nhưng dịch vụ không thể đòi hỏi hơn,"Mọi thứ đều phù hợp với giá tiền, từ khâu làm thủ tục cho đến lúc xuống máy bay đều làm mình hài lòng. Với chuyến bay lúc sáng sớm, dù bữa ăn chỉ có bánh mì có nhân và một ly nước không được nhiều và cũng bình thương nhưng chuyến bay chỉ có 1h thì theo mình đây là điều bình thường"
3,Chuyến bay chỉ kéo dài 1 giờ nhưng nó thật tuyệt,"Một chuyến bay ngắn nhưng nó làm mình thật sự bất ngờ, một chuyến Airbus A320 được trang bị màn hình giải trí, điều mà ít hãng hàng không có. Cùng với thái độ lịch sự, thân thiện, niềm nở của nhân viên quầy và tiếp viên làm cho mình thấy bất ngờ với hãng hàng không giá rẻ này"
3,Hãng hàng không giá rẻ cho người muốn khám phá Angkor Wat huyền bí,Nhân viên thân thiện và hướng dẫn cho chúng khá chu đáo. Giá vé cho chặng từ SGN/REP chỉ 73$ phù hợp cho tất cả mọi người muốn tham gia hành trình khám phá kỳ quang thế giới Angkor Wat kỳ vĩ và cổ kính. Hy vọng chúng tôi có dịp quay lại Siêm Riệp một lần nữa.
3,Binh thường,Tốt hãng nên ra nhiều món mới để thu hút nhiều khách hàng hơn đồ ăn bình thương không bằng việt việt Nam Airlines 5 sao
3,tốt,tốt đồ ăn ngon chỗ để chân rộng rãi máy bay sạch sẽ tiếp Viên xinh đẹp dễ thương i love you caythay pacifica airlines
3,Có trách nhiệm.,"Gia đình mình đã có 1 chuyến bay thú vị với hàng hàng không Cathay Pacific khi nối chuyến từ Hanoi với Cathay dragon đến Hồng Kong. Nói đây là chuyến đi thú vị vì mình đi từ HK transit ở Vancouver trước khi đến New York. Chuyến bay của mình bị delay tại Vancouver không biết thời gian delay. Vì vậy mình đã huỷ vé đi Washington DC từ NY. mình đã viết thư cho hãng phản ánh về việc này. Và sau khi về đến Hanoi, mình đã nhận được hướng dẫn để nhận bồi thường tiền vé bus đã bị huỷ. Mình rất ấn tượng vì trách nhiệm của hãng đối với khách hàng - điều mà nhiều hãng hàng không trên thế giới phải học tập. Cảm ơn Cathay Pacific."
3,Cảm nhận chuyến bay,Dịch vụ bay của Hãng hàng không Cathay Pacific thật tuyệt. Hãy thử nghiệm hành trình của bạn trên các chuyến bay của Cathay Pacific!
2,Hãng cần nâng cao chất lượng thức ăn,"Nhìn chung chuyến bay tốt.
Tuy nhiên đồ ăn không ngon nhất là các phần ăn kiểu châu á, rất nhạt nhẽo mà không phục vụ muối và tiêu, chỉ khi nào bạn hỏi thì tiếp viên mới cung cấp.
Ghế phía trước không có đồ gác chân cho người ngồi phía sau.
Chặng ngắn từ HCM- Hong Kong và ngược lại máy bay khá cũ, tivi không có màn hình cảm ứng.
Khi lên máy bay, hạng phổ thông rất đông nhưng chỉ được xếp 1 hàng, hạng business rất ít cũng xếp 1 hàng. Lẽ ra hạng phổ thông phải được xếp 2 hàng cho nhanh."
2,Thái độ không tốt của tiếp viên hàng không,Tiếp viên hàng không nữ của hãng China Airlines có thái độ khó chịu và dằn mặt khách khi khách có bất đồng về ngôn ngữ và là người lớn tuổi.
3,Dù lịch,Anh thuê nhà vừa đi Việt Nam tháng 10 năm 2022 ba người tiếp viên lịch sự máy bay sạch sẽ đồ ăn ngon hè năm nay em với mẹ sẽ đi hãng không china Airlines hành trình lax international airport đến Sân bay Quốc tế Tân Sơn nhất vé máy bay 2 chiều
3,Du lịch,Tôi có người thuê nhà ở Quận cam California đi hãng không China Airlines nhân viên rất tốt và vui vẻ có ba người đi cùng một hãng hàng không China Airlines một người hạng phổ thông hai người hạng thương gia chỗ ngồi sạch sẽ hè năm 2024 tôi với mẹ sẽ đi hãng không này vì hạ cánh buổi sáng không phải ban đêm tháng 7 năm 2022 tôi với mẹ đi hãng không Korean airlines đồ ăn quá ít rất đói bụng không có sữa chua với kem hạ mất 2 đêm trên máy bay tháng 7 ngày 5 năm 2022 ở Mỹ tháng 7 ngày 6 năm ở Hàn Quốc
3,rất hài lòng,"Lần đầu được đi máy bay, cảm thấy rất an tâm, tiếp viên rất niềm nở, đa số họ đã trên tuổi 25 nên kinh nghiệm phục vụ khá nhiều, nhưng họ khá khiêm tốn khi nói tiếng anh. Đồ ăn khi được mang ra còn nóng, đó là điểm mình rất thích, mỗi suất ăn có đầy đủ khai vị, món chính và tráng miệng, nước thì có hồng trà, cafe và nước trái cây, lúc đi thì không có sữa nhưng chuyến về mình dc phục vụ thêm sữa. Rất hài lòng!"
3,du lich vinh ha long viet nam,"Điều hành và sắp xếp của hãng làm khách hàng cảm thấy được thoải mái,tiếp viên luôn quan tâm đến các hành khách,luôn tươi cười ,phục vụ chuyên nghiệp"
3,China Airlines – hãng hàng không hàng đầu Châu Á,"Dịch vụ tốt, dịch vụ chăm sóc khách hàng ok nhất mà tôi đi . nếu bạn đi du lich thì nên chọn hãng china airlines nhé"
3,Hãng hàng không đáng tin cậy,"Chuyến bay rất đúng giờ, tiếp viên rất nhiệt tình. Thức ăn tạm được. Giá vé bằng giá bay từ HCM đi HN."
3,Nối tuyền từ Saigon đến Toronto,"Sân bay tại Quảng Châu lớn. T2 rộng rãi 4 tầng, có bản chỉ dẫn bằng tiếng Anh.
Khó khăn cho người nước ngoài đến là ở chỗ nhận sóng wifi, dù đã đến các tủ, bàn để đảng ký"
3,"Giá rẻ, dịch vụ tốt","Gd tôi bay từ tp.hcm đi new york với china southern vào 23/06/18. Máy bay mới, đẹp, dịch vụ tốt. Transit ở sân bay Quảng Châu, sân bay đẹp, sạch sẽ. Vì trục trặc kỹ thuật nên chuyến bay bị delay, các tiếp viên sau đó đã đi đến từng hành khách để giải thích và xin lỗi."
3,Sài Gòn - Thượng Hải tuyệt vời!,"Tuyệt vời, đồ ăn rất ngon và thái độ nhân viên vô cùng lịch sự, nhiệt tình. Nếu có dịp nhất định sẽ đi tiếp!"
1,"Tự hủy chuyến, hoàn tiền chậm trễ và tính phí hoàn tiền.","Tự hủy chuyến, hoàn tiền cho khách hàng rất chậm, và tự tính phí hoàn tiền 333.766 đồng /1 vé, phí dịch vụ 50.000 đồng."
3,Travel Delta Air Lines Ticket Airlines,"Hãng hàng không quốc gia Hoa Kỳ , đặt vé máy bay đi Mỹ giá rẻ vé tốt nhất tại Delta Air Lines, Airvina.vn"
3,Nghỉ đêm trên máy bay,"Bay khá ổn, bạn nên mang thêm áo ấm vì trên máy bay ko có sẵn. Nếu cần bạn có thuê chăn với giá $15."
3,Vé máy bay giá rẻ,"Là hãng hàng không Hàn Quốc giá rẻ nên bay từ Seoul sang Jeju khá rẻ (lúc mình đặt là 1,200,000VND return tickets). Phục vụ bình thường, hơn Vietjet air một chút. Nhưng đường bay ngắn nên không có cảm nhận gì nhiều và cũng không thấy có gì chê."
1,Hành lý xách tay,"Tôi sẽ không bao giờ bay với easyjet airline. Tôi đã rất thất vọng, về hành vi của nhân viên lúc vào cửa lên máy bay tai Berlin.. tôi và các con đã bay nhiều lần với hành lý xách tay như thông tin trong vé max (45x30x20 cm). Lúc chúng tôi đem hành lý đo kích thước Anh ta đã làm ngơ, và bắt chúng tôi phải trả 58 x 3 =176 euro . để được lên máy bay vì cửa lên máy bay sắp đóng. Thật nhục nhã cho hành vì này. Một cách bóc lột trắng trơn."
3,Tuyệt vời,"Các máy bay easyjet thực sự sống đến tên của nó. Tôi thích hãng hàng không này vì họ đi đúng giờ hoặc đôi khi sớm hơn thời gian dự kiến, chưa kể đến giá vé rẻ. Tôi rất khuyên bạn nên hãng hàng không này và các nhân viên tại sân bay là loại và rất hữu ích. Các tiếp viên hàng không cũng đẹp, lịch sự và chu đáo với hành khách cần."
3,Trải nghiệm Easyjet,"Vượt ra khỏi Malpensa để CDG Paris trở lại với Easyjet.

Hãng hàng không đường ngắn rất tốt ở châu Âu. Tất cả đặt phòng và nhận phòng đều trực tuyến. Hoặc in thẻ lên máy bay hoặc lưu vào máy tính bảng hoặc điện thoại. Chúng tôi sẽ đặt trang web và dễ điều hướng.

Mẹo của tôi là trả tiền cho ghế trước, không còn nhiều nữa và bạn sẽ được ưu tiên mọi thứ cũng như một chỗ ngồi tốt.

Terminal 2 tại Malpensa rất thẳng về phía trước và thân thiện với người dùng như là thiết bị đầu cuối 2 D ở Paris CDG nơi Easyjet hoạt động.

Luôn là một trải nghiệm tốt với Easyjet."
2,Đánh giá chuyến bay 4/2023,"Thái độ phục vụ 7/10
Hình thức máy bay 10/10
Bảo quản hành lý 2/10
Tôi thậm chí còn bị mất luôn cả tay kéo vali
Tỷ lệ tiếp viên có thái độ kỳ thị người da vàng khoảng 30%"
1,Quá khủng khiếp 😡,"Nhân viên sân bay của hãng emirates làm việc quá cứng nhắc và không hề tôn trọng khách hàng (bằng chứng là dù tôi có nói hay giải thích thế nào họ cũng không thèm nghe), họ không muốn lắng nghe và giải quyết tình huống cho khách hàng. Tôi rất tức giận và không hài lòng về cách hành xử của nhân viên, chúng tôi đã vật vã 3h đồng hồ với nhân viên sân bay của hãng và kết quả cuối cùng chúng tôi nhận lại được là gì? Chúng tôi không thể bay và bị huỷ chuyến! Tôi đã gọi điên lên hãng nhưng không ai nghe máy, đã gửi mail nhưng không ai trả lời. Mọi người nên suy nghĩ lại khi lựa chọn hãng bay! 😡 Chắc chắn là tôi sẽ lên hãng để khiếu nại về việc này"
3,Tuyệt,"Dịch vụ của hãng trên chuyến bay rất tuyệt. Nhưng nhân viên mặt đất tại sân bay Lisbon rất có vấn đề. Đoàn chúng tôi đã check in online nhưng tại sân bay một nữ nhân viên tại quầy check in online không chấp nhận, yêu cầu chúng tôi xếp hàng bên chưa check in. Số ghế của chúng tôi vẫn được giữ nguyên như đã check in. Kết hợp với ý kiến mấy bạn ở đây có thể nói rằng nhiều nhân viên mặt đất không xứng đáng phục vụ cho một hãng hàng không 5*."
3,Dịch vụ tuyệt vời,"Tôi đã đi chuyến khứ hồi Hà Nội-Dubai-Nice và Lisbon-Dubai-Hanoi. Dịch vụ của hãng rất tuyệt vời. Như nhân viên mặt đất tại sân bay Lisbon thì rất tệ. Tôi đã check in online nhưng tại quầy thì một nữ nhân viên ngồi cạnh quầy dành cho First class không chấp nhận, yêu cầu tôi sang hàng bình thường, nhưng số ghế vẫn đúng với số ghế tôi đã check in online. Thực sự rất ác cảm với sự phục vụ của nhân viên mặt đất tại đây."
3,Hài lòng,"Sự lựa chọn đúng đắn cho việc transit đi Châu Âu
Chặng bay từ Hà Nội đến Dubai chỉ tầm 6h sau thời gian transit tiếp tục bay sang châu âu 6h nữa. Với 1 người không thể ngồi lâu thì việc bay Emirates thoải mái hơn rất nhiều so với chặng bay thằng của Vietnam Airlines như mọi lần.
Ngồi Economy nhưng chỗ ngồi khá ổn, chương trình giải trí cũng rất hay và mới mẻ.
Đồ ăn ổn đặc biệt uống rượu thoải mái :)) Chất lượng rượu tạm ổn đủ để ngủ ngon.
Tiếp viên xinh nhẹ nhàng luôn nở nụ cười tươi."
3,Lựa chọn tốt nhất cho chặng bay nối chuyến đi Châu Âu,"Có thể nói Emirates là hãng hàng không tôi thấy hài lòng nhất trong số các hãng chặng bay nối chuyến từ Hà Nội đến Châu Âu. Thời gian bay và nối chuyến rất nhanh, ghê ngồi rộng rãi, máy bay lớn (Boeing 777 cho chặng từ Hà nội đến Dubai và Airbus 380 cho chặng từ Dubai đi Châu Âu) , tiếp viên luôn tươi cười và lịch thiệp. Trên máy báy, khách được phục vụ 2 bữa ăn mỗi chặng, các chương trình giải trí cũng rất hay và đa dạng. Ngoài ra, thủ tục check in online được mở rất sớm (trước 48h) trong khi Vietnam Airlines và Aeroflot mở trước 24h.. Việc nối chuyến tại sân bay Dubai khá đơn giản do các biển chỉ dẫn rất rõ ràng, tại sân bay còn có khách sạn, phòng tắm, spa, hiệu thuốc và nhiều dịch vụ mua sắm khác. Nếu không muốn chờ tại sân bay, bạn cũng có thể xin visa 96h để làm 1 chuyến city tour trong thời gian transit. Tôi sẽ tiếp tục lựa chọn Emirates cho các chuyến bay tiếp theo của mình."
3,Hàng không 5 *,"Không hổ danh là hãng hàng không 5 * . Mấy bay lớn nội thất đẹp sang trọng, nghế ngồi rộng thoáng,phục vụ nhiều phim và chương trình giải trí trên tivi ( mặc dù nghế chỉ là hạng phổ thông) các xuất ăn khá ngon, tiếp viên lịch thiệp ."
1,Hạ nhục khâch hàng bằng cân xách tay,"Lần đầu tiên em thấy nhục nhã và lo lắng như thế khi ra sân bay sớm 3,5h trước giờ bay mà sát giờ mới xong thủ tục. Cả đoàn ai cũng quá 1-2kg cước xách tay vì bị ép đặt toàn bộ đồ đeo trên người lên cân. Lần đầu tiên cái camera và laptop táo cắn dở của em bị nó bắt cân các bác ạ. Túi mỹ phẩm và balo của mấy chị đẹp trong đoàn cũng bị cân hết. Thế là để cứu quà và mây ảnh, mây tính em phải chuyển sang xách túi giấy và vứt vali lại. Các chị khâch cũng phải loay hoay người thì vứt vali, ai có điều kiện đành ngâm ngùi đóng phạt 55euro/kg quá cước. Xin nó rằng tôi là TL phải mang máy tính theo làm việc, xách thêm tý quà, sao bắt tôi cân máy tính? Nó mới lôi cái quy định lạ đời nhà nó ra là ""Bên em cân hết"". Chỉ còn thiếu bắt lột ra cân cả đồng hồ, quần áo và nhẫn đeo tay... Thật đến Jetstar hay Vietjet cũng chẳng ép khách như thế. Cánh ngỗng và đào dẹt vửt đầy sân bay. Nhục toàn tập."
3,Không thỏa mãn lắm với kỳ vọng hãng hàng không hàng đầu,"Phục vụ ăn 2 lần cho chuyến bay dài, nhưng ghế khá nhỏ không phù hợp lăm để bay dài. Kenh giải trí khá đa dạng, nhân viên nhiệt tình. Nhưng chặn về từ dubai về may phát hiện kịp thời EK xuất nhầm vé cho gia đình tôi bay về SIN thay vì SGN (tắc trách không nên có cho hãng hàng không này). Vì EK bán hàng miễn thuế trên máy bay, khi về rất nhiều khách mua hàng, nên nhân viên quên mất việc phục vụ khách trên máy bay, họ lo bán hàng lấy doanh thu thay vi phục vụ nước và đồ ăn cho khách. Quản lý đội bay EK cần xem lại"
3,"trải nghiệm thú vị nhất và xứng danh hàng không sang chảnh nhất, tốt nhất thế giới","Không thể tuyệt vời hơn, tôi đã được trải nghiệm trên chuyến bay với tiện nghi hiện đại nhất, nhưng điều quan trọng nhất đó là sự phục vụ nhiệt tình, chu đáo, thân thiện của đội ngũ tiếp viên; tôi rất yêu Emirates không phải vì nó sang chảnh nhất mà là sự phục vụ tốt nhất!"
3,Wifi trên máy bay !!!,"- Ghế: cảm giác bé hơn so với của VNairlines
- Giaỉ trí: màn hình có nhiều loại phim (Hàn, Nhật, Mỹ) có cập nhật nhưng có mấy phim mình thích thì lại không được engsub, game
- Wifi: không nhớ rõ giá, chỉ nhớ khá rẻ, trả qua thẻ
- Đồ ăn: recoomend các bạn chọn cá, cả chuyến đi và về mình đều chọn gà, thấy dở hơn cá :(
- Thức uống: đa dạng (rượu bia ...)
- Do mình người bé nên ngồi thoải mái chứ thấy những người xung quanh ngồi có vẻ chật hẹp
P/s: có dịch vụ chụp ảnh cho trẻ em và người già :))"
3,Thật thoải mái khi bay cùng nó,Chuyến bay thật êm ái. Tôi bay của hãng này rất nhiều lần và thực sự là cảm thấy vô cùng thoải mái. Giá cả thì lại khá cạnh tranh. Dịch vụ vô cùng ổn. Các tính năng giải trí cũng phong phú vô cùng.
1,Emirates là một ngón tay cái rất lớn,"Bài đánh giá này dành cho chuyến bay EK 028 và EK 332 hạng phổ thông - đó là trải nghiệm tồi tệ nhất của tôi. Emirates đã thực sự thực hiện công bằng với thuật ngữ 'hạng gia súc' - hành khách chật cứng mang và các phòng tiện nghi hầu như không mang lại 'sự thoải mái' vì chúng chật chội một cách tội phạm - không phù hợp với con người.
Có thể họ quảng cáo hạng thương gia của mình là hạng cao nhất và phòng chờ của họ là tuyệt vời nhưng họ không nên nhắm mắt làm ngơ trước cách họ đối xử với hành khách bay hạng phổ thông vì họ mang lại phần lớn doanh thu."
3,Great service,Được trải nghiệm những hàng hàng không 5 star thật tuyệt vời. Etihad Airways đã làm được hơn thế. Crew staff thân thiện hỗ trợ nhiệt tình chuyên nghiệp. Món ăn ngon và phong phú có nhiều lựa chọn cho quý khách. Rất chuyên nghiệp.
1,Làm ăn kiểu gì vậy,"Hành lý bị nát hết trơn trong lúc vận chuyển, nát thành mảnh vụng. Đồ đạc bị xới tung, chưa bao giờ thấy hãng nào đối xử tệ hơn"
3,Du lịch,Gì tôi họ hàng của tôi vừa đi hãng không Eva Airlines đi từ phi trường Sân Quốc tế Tân Sơn Nhất đến Lax International Airport quá cảnh Đài Loan tiếp viên lịch sự đồ ăn ngon chuyến bay cất cánh đúng giờ cabin sạch sẽ hè năm nay em với mẹ sẽ đi hãng không Eva Airlines từ Lax international airport đến Sân Quốc tế Tân Sơn Nhất vé máy bay 2 chiều
3,Quá tuyệt vời,Không còn gì để chê được nữa. Quá là tốt. Tiếp viên quả thật là tuyệt vời. Chú đáo và quan tâm tới khách hàng. Vượt quá sức mong đợi. Trên cả tuyệt vời.
2,EVA air from HCM to Taipei,"máy bay sạch vừa phải
chỗ ngồi hơi chật
đồ ăn OK
tiếp viên thu lại tai nghe khi chưa xem xong phim - tai nghe này đâu có xài được ở nhà vì có 2 chấu chỉ dành riêng cho máy bay"
3,Dịch vụ đẳng cấp,"Tiếp viên nhiệt tình, chu đáo
Bay đúng giờ
Bữa ăn ngon, dinh dưỡng hợp lý
Dịch vụ hỗ trợ đặc biệt rất chu đáo
Tuy nhiên, gối nhỏ tựa lưng hơi có mùi"
3,Lần đầu bay hãng Eva air,"Trước đây tôi thường đi công tác trong các nước Đông Nam Á, nên thời gian bay ngắn đa số bay các hãng Thai Airline, Vietnamairlines , Nokair,.. Gần đây tôi định cư nên bay xa và tôi đã chun hãng Eva. Máy bay lớn, rộng rãi, tiếp viên phục vụ chu đáo."
3,"Giá tốt, dịch vụ cực kì ổn | Good price, good service, highly recommended.","Tôi bay từ Pháp về Singapore, chọn hãng này vì trong thời gian đó (đầu tháng 03.2017) giá của hãng là tốt nhất (khoảng 304 usd). Chuyến bay có nối chuyến đến Phần Lan. Thời gian nối chuyến chỉ là 50 phút nhưng phong cách phục vụ cực kì chuyên nghiệp, hãng thông báo luôn là nối chuyến đến địa điểm khác thì sẽ đi cửa nào, thời gian là bao lâu để hành khách có thể kịp theo dõi và không lo bị trễ chuyến bay kế.
Thực tình do chọn giá rẻ (giống AirAsia), tôi đã không hy vọng được phục vụ đồ ăn uống và các dịch vụ khác, nhưng khá bất ngờ là có phục vụ.
Chỗ ngồi khá thoải mái, rộng rãi. Chuyến bay từ Phần Lan - Singapore có wifi (có trả tiền), ngoài ra có các tiện ích khác như xem phim, chơi game, v.v.
Nếu mọi người muốn bay từ châu Âu về Việt Nam thì có thể chọn hãng này, đi hơi vất vả chút là phải chuyển tiếp từ Singapore về VN (tự mua, vé lẻ khác), nhưng đi từ Sing về VN thì khá đơn giản."
2,👌🛫,"Giá vé bình thường, hành lý xách tay và hành lý ký gửi tính riêng. Check-in online khá vất vả 😲. Điều mình thích nhất là các bạn tiếp viên rất vui vẻ và giúp đỡ mọi người nhiệt tình❤️. Phi công lái máy bay khá êm👍. Một chuyến đi khá suôn sẻ."
3,"Bay đúng giờ, ghế ngồi rộng rãi, bay êm","Mình rất hài lòng với chuyến bay. Máy bay mới, sạch sẽ, chỗ ngồi và để chân rộng rãi. Bay đúng giờ. Nói chung không có gì để phàn nàn. Mỗi tội khi cần liên hệ với tổng đài thì chỉ coa thể nhắn tin qua WhatsApp, không có sđt để liên hệ trực tiếp"
3,Giá cả và dịch vụ tốt.,"Lần đầu tiên tôi bay hãng hàng không Hongkong Express ấn tượng đầu tiên về hãng hàng không này là màu sắc. Về thủ tục check-in khá thuận lợi nhưng có 1 điều hãng cần nên điều chỉnh là dịch vụ trả lời câu hỏi của khách hàng tại quầy như một con robot không thoả mái chút nào.
Cảm ơn."
3,Cả 02 chuyến bay từ đều đúng giờ và khá tốt,"Cả 2 chuyến bay A330 từ SGN đi Hongkong sau đó chuyển tiếp trên A350 đi LAX đều khởi hành đúng giờ và thậm chí còn đến Mỹ sớm 30 phút. Chuyến bay dài nhiều giờ nhưng được phục vụ đầy đủ và ăn uống liên tục. Tôi còn được xem trực tiếp FIFA world cup trên chuyến bay, thật tuyệt vời. Đội tiếp viên nhiệt tình, dễ thương và rất chuyên nghiệp. Điều đặc biệt nhất mà tôi muốn nói đó là giá vé máy bay lại rất hấp dẫn cùng với các dịch vụ được hưởng như trên thì việc lựa chọn bay cùng HKairlines là rất tuyệt vời"
1,thái độ phục vụ của nhân viên hãng japan airline quá tồi,"Tôi tên là NGUYỄN THỊ HUYỀN mã số ghế 20D. Ngày 27/11/2023, tôi có bay từ nhật về nội bài trên chuyến bay của hãng hàng không japan airline. mã chuyến bay JL751. khi hạ cánh lấy hành lý tại sảnh của sân bay nội bài. nhân viên của hãng tên : TRẦN QUỲNH TRANG đã chụp ảnh hành lý cá nhân của tôi. tôi không biết cô ấy chụp ảnh với lý do và mục đích gì . nhưng đó là tài sản cá nhân của khách hàng . nếu tôi có sai phạm gì thì phải có văn bản và các cơ quan, tổ chức có thẩm quyền xử lý . Tôi vô cùng bức xúc về cách làm việc và cách ứng xử không tôn trọng khách hàng của nhân viên này. Tôi là một khách hàng thân thiết
của japan airline hạng shapphire sắp đạt hạng daimond. một năm tôi bay rất nhiều chuyến bay của hãng nhưng dạo gần đây khi nhân viên tên trang mới vào làm. cô ấy có những hành động vô lễ không tôn trọng khách hàng . không chào hỏi , giật lại hành lý của khách trong khi khách đang đeo trên người. lợi dụng chức quyền . Điều đó khiến tôi quá thất vọng về 1 hãng hàng không 5sao như japan air."
3,ĐÚNG LÀ HÃNG BAY NĂM SAO!,"Nhân viên phục vụ sân bay, tại boarding gate và tiếp viên trên máy bay rất vui vẻ, ân cần, và trách nhiệm. Họ tỏ ra rất quan tâm và có trách nhiệm với hành khách. Các tiếp viên xinh đẹp, lịch sự, lúc nào cũng ân cần mời hành khách dùng thêm thức uống sau các bữa ăn. (Trông thật là dễ mến!) Vợ tôi được nhận thiệp mừng sinh nhât từ tổ bay! (Hôm đó đúng là ngày sinh nhật của vợ tôi.) Đặc biệt, trong lúc vội vàng, tôi lỡ bỏ quên một hành lý xách tay (backpack) tại sân bay Vancouver. Họ ngăn không cho tôi quay trở lại để lấy hành lý vì sợ tôi trễ chuyến bay và họ hứa sẽ tìm kiếm và gửi trả lại cho tôi ở chặng cuối của chuyến bay (Ho Chi Minh City Airport - (SGN). Và cuối cùng tôi đã nhận lại hành lý xách tay của mình: Đầy đủ, không mất mát gì cả! Tôi thật ấn tượng về dịch vụ của hãng bay! Thực tế thì tôi và gia đình từ trước cho đến nay vẫn thích chọn hãng bay này. Nhân đây, tôi xin giới thiệu cùng các bạn!"
3,Tốt,Cousin tôi Đi hãng không Japan airnes nhân viên thân thiệt hạng phổ thông đặc Biệt thoải mái đồ ăn ngon máy bay sạch sẽ
3,Dịch vụ rất tốt,"Tiếp viên rất nhiệt tình, vui vẻ với hành khách, máy bay sạch, chỗ ngồi để chân thoải máy, đồ ăn ngon, nhiệt độ phù hợp không quá lạnh như hãng bay Mỹ (AA). Nói chung đánh giá rất cao. Nếu có thêm tạo ẩm không khí như hãng bay Vietnam airlines nữa thì quá tốt."
3,Đúng chuẩn 5 sao của Nhật,"Japan Airlines chưa bao giờ làm mình thất vọng. Từ Tokyo đi Sydney JAL sẽ dùng máy bay boeing 787-800 dreamliner, ghế rộng và thoải mái, có chăn và gối giúp hành khách nghỉ ngơi một cách thoải mái. Thức ăn rất ngon, bay 10 tiếng mà được ăn tới 2 bữa chính và rất nhiều bữa phụ, chưa kể bánh snack và nước trái cây. Tiếp viên rất nhiệt tình và chu đáo với hành khách."
3,Hãng hàng không tuyệt vời,"Tôi có thể nói đủ về Japan Air. Con gái tôi (19) và tôi đã bay đến Nhật Bản vào tháng 11. Đây là lần đầu tiên cô bay. Không khí Nhật Bản làm cho chuyến đi trở nên đáng nhớ đối với cô ấy và cả tôi nữa. Họ rất chú ý đến từng chi tiết và dành thời gian để đảm bảo mỗi hành khách đều được chăm sóc tốt, đây là điều hiếm có trong ngành hàng không ngày nay. Trong đó hầu hết các hãng hàng không đối xử với hành khách như gia súc, Japan Air đối xử với bạn như một VIP ngay cả trong xe khách. Máy bay sạch sẽ, thức ăn được chuẩn bị tốt, nó được trình bày tốt và rất ngon. Phòng chân là quá đủ và chúng tôi có thể duỗi chân mà không bị hạn chế. Chúng tôi sẽ bay Japan Air bất cứ khi nào chúng tôi có thể hạ cánh một trong những hãng hàng không tốt nhất."
3,HÀNG KHÔNG GIÁ RẺ TUY NHIÊN CHẤT LƯỢNG PHỤC VỤ TỐT,"Lần đầu tiên sử dụng hãng hàng không giá rẻ để bay từ Narita đến Incheon, tuy nhiên cảm nhận về chất lượng dịch vụ khá tốt, phù hợp với chi phí đã bỏ ra.
Nhân viên phục vụ tận tình, nội thất máy bay sạch sẽ và khá đẹp nếu như dịch vụ đồ ăn bán trên máy bay có thêm một số menu khác vừa giới thiệu về ẩm thực Hàn quốc vừa chất lượng cao hơn nữa thì chắc sẽ tuyệt vời hơn."
3,Hãng hàng không bình dân,"Phục vụ ở mức tối thiểu chấp nhận được. Đồ ăn nấu theo kiểu Ấn độ, khó ăn đối với khách nước ngoài. Phi công lái hơi ẩu, nhất là lúc hạ cánh."
1,Xúc phạm,Đùa không vui . Đồng tiền việt Nam là danh dự quốc gia bọn tao không phải trò đùa của chúng mày . Nên xin lỗi toàn thể đất nước chúng t
1,Tệ,"Không tôn trọng đồng tiền của người Việt Nam!!🇻🇳🇻🇳
Thật sự rất tệ tôi không hiểu chúng tôi đã làm gì các bạn
Sự thiếu tôn trọng này đánh giá 1⭐️ còn nhẹ😌"
1,chuyến đi thật kinh khủng . Do phân biệt đồng tiền và thiếu đi sự tôn trọng của hãng đối với khách hàng mà hiện nay đan,1 chuyến đi thật kinh khủng . Do phân biệt đồng tiền và thiếu đi sự tôn trọng của hãng đối với khách hàng mà hiện nay đang trong thời kỳ bình đẵng đa phương tiên.
1,Quá tệ,1⭐️. Thực sự tồi tệ. Đạo đức của một hãng hàng không dựa trên cách phục vụ khách hàng. Nhưng sự thiếu tôn trọng một quốc gia đã làm mất đi phần đạo đức đó
1,Đùa không vui,"Phát ngôn xứng đáng âm vô cực, admin fanpage Jetstar Úc chúng tôi cần một lời xin lỗi nơi trên trang mà đã xúc phạm ấy!! Đùa có duyên ghê"
1,Hãng lớn mà phát ngôn không suy nghĩ,Không biết cách lịch sự hãng lớn mà phát ngôn như người không não đầu năm chúc hãng của mình phá sản sớm
